Unnamed: 0,question,answer,start_time,end_time,Unnamed: 5
,มีวิธีไหนไหมคะที่ทําให้เราพ้นจากทุกข์ที่คนอื่นกระทําต่อเราคือเห็นครอบครัวของสามีทะเลาะกันซึ่งเห็นแล้วเศร้ามาก ๆ ซึ่งหนูมองว่าทําไมถึงต้องมาเจอกับอะไรแบบนี้ หนูรู้สึกทุกข์มาก ๆ เพราะว่าครอบครัวของหนูจะเป็นสายแบบซอฟท์มาก ๆ ค่ะ หนูต้องปรับตัวยังไงคะ,"พระอาจารย์อยากจะให้เรียนรู้ความเป็นจริงของชีวิตผ่านเรื่องราวที่มันเกิดขึ้นนี้นี่แหละว่า ชีวิตของแต่ละคนมีพื้นฐานที่นําสืบเรื่องราวแต่ละเรื่องผ่านตัวบุคคลนั้นนั้นมาที่ไม่เหมือนกันแต่ละคนสะสมเรื่องราวในวัฏสงสารเนี่ยแตกต่างกันเราก็ไม่รู้ว่าส่วนใดจะให้ผลกับเขาแล้วเขาก็จะต้องชดใช้วิบากหรือกระทํากรรมใหม่จากผลแห่งวิบากที่เขาได้รับอยู่ คือการเกิดขึ้นของชีวิตทุกคนมันเกิดมาจากผลของกรรม ตา หัว จมูก ลิ้น กายใจ หรือชีวิตของเราเองก็ตามทั้งหมดนี้เป็นผลของกรรมทั้งหมดเลย คําว่าเป็นผลของกรรม หมายถึงว่ากรรมตกแต่งไว้เรียบร้อยแล้วว่าเราจะต้องเป็นแบบไหนอย่างไรแล้วนอกจากกรรมจะตกแต่งชีวิตเราไว้แล้วว่าเราจะต้องเป็นแบบไหนอย่างไรกรรมยังจะผลักดันชีวิตและแสดงออกถึงพฤติกรรมความเป็นอยู่การกระทําและคําพูดเรื่องราวอุปนิสัยชีวิตทั้งหมดแสดงออกมาล้วนแล้วแต่เป็นเรื่องของระบบกรรมที่แสดงออกผ่านในตัวของคน ๆ นั้น
นั่นหมายถึงว่าเราจะไม่สามารถเปลี่ยนแปลงคน ๆ นั้นได้ง่าย ๆ เลยเพราะคําว่ากรรมนั้นมันมาจากแสนกัปที่แล้ว นั่นหมายถึงว่าแสนกัปที่แล้วเขาไม่ได้สร้างความเป็นตัวตนของเขาเกิดขึ้นเพียงแค่วันหนึ่งสองวันแต่หมายถึงว่าถูกสร้างมาแล้วตัวตนชนิดนั้นเป็นแสนกัปหรือก่อนหน้านั้นอีกไปเท่าไรเราก็ไม่รู้แต่การให้ผล พระพุทธเจ้าบอกว่าแสนกัปที่ผ่านมาจะยังให้ผลอยู่แต่ก่อนหน้านั้นไม่ได้กล่าวถึง ฉะนั้นขอให้เข้าใจว่าเมื่อเขาได้สร้างความเป็นตัวตนมาแสดงออกถึงภาวะแห่งเป็นตัวเขาหรือเป็นพฤติกรรมของเขาในเวลานี้มันมีระบบการเข้าไปเชื่อมโยง ทีนี้เราก็บอกว่าจะทําให้เราพ้นจากทุกข์ยังไง เรามองความเป็นจริงเถอะว่านี่คือความเป็นจริงของโลก ความเป็นจริงของชีวิตความเป็นจริงของเรื่องราวที่โลกมันต้องเป็นที่ชีวิตคนมันต้องเป็น เราไม่ได้เป็นอย่างนั้นเราควรจะดีใจได้ว่าดีแล้วที่เราพ้นจากความเป็นอย่างนั้นในสิ่งที่บุคคลนั้นกระทํา ดีแล้วที่เราได้รับการอบรมมาดี ดีแล้วที่เราได้สร้างเลแห่งกรรมมาให้อํานวยผลกับเราในทางที่ดี ในแสงกัปที่ผ่านมานึกถึงในส่วนดีให้มาก ๆ ขึ้นเรื่อย ๆ อย่าไปเอาอารมณ์การกระทําของคนอื่นมาสร้างความสุขในใจของตัวเอง ",00.24.48,00.27.28,
,แผ่เมตตาในวงเล็บมีขอขมากรรมทุกภพทุกชาติ แล้วรู้สึกเจ็บจี๊ด ๆ ที่หัวใจแสดงว่าอะไรคะชดใช้กรรมเลยใช่ไหมคะ จบเลยไหมคะ,"แน่นอนว่าใจเราก็เป็นส่วนหนึ่งของกรรมวิบากหรือว่าเป็นผลของกรรมเหมือนกันแล้วกรรมจะติดตามให้ผลใครได้ก็สืบเนื่องมาจากใจนี่แหละ คือเขาจะติดตามมาตามที่กระแสแห่งใจเพราะใจเป็นผู้รับรู้เรื่องราวทุกอย่างในวัฏฏะฉะนั้นนํามาปรากฏอีกครั้งหนึ่งเราจะรู้ก็ตามไม่รู้ก็ตามไม่เกี่ยวกับเราแต่มันติดตามมาจากใจเนี่ยเป็นตัวเชื่อมโยงและเกี่ยวข้องและส่งผลต่อภาวะการ
ชีวิตในปัจจุบันนี้ เราจะรู้สึกเจ็บจี๊ด ๆ ยอมรับไปเถอะนั่นก็คือส่วนของวิบากที่ได้จัดคลายออกจากกิจหรือได้ถูกแก้ไขหรือได้ถูกทําให้เบาบางไปในโอกาสนั้นในช่วงเวลานั้นก็พยายามขอขมากรรมบ่อยๆ อยู่เรื่อย ๆ จนกว่าอาการจี๊ด ๆ จะหายไ",00.27.42,00.28.39,
,1.ไปยืนฉี่หรือขับถ่ายที่ต้นไม้หรือนอกสถานที่ต้องไหว้ขอโทษไหมครับ 2.การไปเที่ยวป่าเที่ยวเขาต้องไหว้เจ้าป่าเจ้าเขาไหมครับ 3.ศาลพระภูมิศาลเพียงตาศาลตายายควรไหว้บูชาไหมครับ,วิธีการที่เรามีความจําเป็นในการปัสสาวะในป่าหรือที่ที่มีต้นไม้มาก ๆ ก็บอกเขาหน่อยก็ดีเพราะว่าขอให้เข้าใจว่าตามหลักพุทธศาสนาเราให้ความสําคัญแม้กระทั่งผู้สถิตตามต้นไม้ตามกอหญ้าตามพื้นดิน แต่ถ้าเราต้องการจะขับถ่ายอุจจาระปัสสาวะก็บอกเขาว่า มนุษย์ผีปีศาจหรือเทวดาเหล่าใดก็ตามที่สถิตบริเวณแห่งนี้ข้าพเจ้าขออนุญาตในการขับถ่ายปัสสาวะหรืออุจจาระขอท่านจงออกจากการสถิตย์ชั่วคราว ก็คือให้เขาหลีกออกไปก่อนก็คือขออนุญาต ในส่วน 1.ถามว่าถ้าเจอต้นไม้ต้องไหว้ไหมไ ม่จําเป็นต้องไหว้แต่ควรจะอุทิศส่วนกุศลให้เทวดาที่สถิตในที่นั้น ๆ เจอศาลเจ้าปู่เจ้าตาศาลเพียงตาอย่างนี้ควรจะทําไงก็ควรอุทิศส่วนกุศลให้กับผู้ที่สถิตย์ในฉันนั้น ไม่จําเป็นต้องยกมือไหว้ไม่ต้องจุดธูปจุดเทียนเพราะคําว่าบูชาในทางพระพุทธศาสนา เขาใช้คำว่าทําบุญอุทิศส่วนกุศลให้ได้เชื่อว่าเป็นการบูชาตามบทที่พระองค์ตรัสไว้ว่าบูชาปูชันติ มรรคนิตัง มะนิตัง มะลิยัณตินัง ก็คือการอุทิศส่วนกุศลให้ได้เชื่อว่าเป็นการบูชาผู้ที่อยู่ในอีกมิติหนึ่งภาวะหนึ่งที่เขาอยู่ร่วมกันกับเรา ,00.28.47,00.30.18,
,พระอาจารย์เคยแนะนําว่าหากเราไม่สามารถรักษาศีลให้ครบหรือตลอดเวลาได้ ให้เราตั้งใจเป็นบางช่วงบางเวลาหรือบางข้อก็ได้ แบบนี้ถ้าหนูตั้งใจรักษาศีลช่วงเวลาอื่น ๆ ไว้แต่ในชีวิตมันเป็นไปได้ยากหากเราเผลอไปเดินเหยียบสัตว์เล็กสัตว์น้อยตายหรือเผลอพูดเพ้อเจ้อโดยที่ไม่ได้ตั้งใจจะผิดศีลเราจะตั้งมั่นว่าจะขอถือศีลไปจนกว่าจะเผลอผิดศีลโดยไม่ตั้งใจได้ไหมคะ เพราะไม่รู้จริง ๆ ว่าเราจะไปเผลอเหยียบมดเหยียบอะไรตอนไหน จะบาปไหมคะ แล้วก็ตั้งใจกําหนดใหม่อย่างนี้ไปเรื่อย ๆ ได้ไหมคะ,"การเผลอไม่ได้ถือว่าเป็นความผิด อันนี้เขาเรียกว่าเป็นความพลาดถ้ากับผิดไม่ได้เหมือนกันแต่ในเมื่อใดก็ตามที่พลาดแล้วให้ตั้งสติหรือเจตนางดเว้นใหม่ในคราวครั้งนั้นความพลาดนั้นก็พ้นจากโทษในความพลาดแต่ถ้าความผิดก็คือจงใจละเมิดจงใจที่จะทําลายเจตนาที่ตัวเองตั้งไว้อย่างด้วยเจตนาของเราเองไม่ได้มีสภาพการณ์เหตุการณ์เรื่องราวมาทําให้เรามีเงื่อนไขในการทําตามสภาพการที่เราอยู่เหนือนอกเหนือการควบคุมหรือการบังคับ ฉะนั้นการเดินไปเหยียบสัตว์ตายพุทธองค์ไม่ได้ถือว่าเป็นปาณาติบาปแต่อย่างใดนะหรือเผลอพูดอะไรที่มันเป็นความเพ้อเจ้อพระองค์ก็ไม่ได้ถือว่าเป็นความผิดศีล นั่นคือความผิดพลาดผิดพลาดกับผิดศีลไม่ได้เหมือนกันตีความหมายให้ออก ฉะนั้นถ้าเราเข้าใจอย่างถูกต้องแล้วก็ตั้งเจตนาคตเว้นใหม่เสมอไม่จําเป็นจะต้องไปอธิษฐานว่าข้าพเจ้าจะสมาทานงดเว้นจากการ งดเว้นในศีลข้อนี้ไปจนกว่าจะเผลอหรือพลาดไม่ต้อง ไม่มีแบบวิธีอย่างนี้
",00.30.33,00.32.40,
,มีเพื่อนท่านหนึ่งไล่พนักงานออกเพราะว่าเขาทําทุจริตแต่พนักงานคนนั้นไปฆ่าตัวตายวันนี้เพื่อนก็กลุ้มใจมากเลยค่ะเขามาถามว่าเขาผิดไหม บาปจะตกที่เขาหรือเปล่า ถ้าจิตเขาไม่ได้ทําไม่ได้เจตนาคือไม่ได้เจตนาให้เขาไปฆ่าตัวตายเราจะบาปไหมคะ,ไม่บาปกรณีนี้เราไม่ได้มีส่วนเกี่ยวข้องจากการกระทําของเขาที่เขาไปฆ่าตัวตายเลยเราก็ยังปกติดีเหมือนเดิมบาปเกิดขึ้นจากการตายของเขานั้นนะผมคนละส่วนกันเอาให้เข้าใจ ,00.32.48,00.33.26,
,ถ้าเกิดสมมุติว่าคนตาย สมมุติว่าเกิดเขาอาฆาตคนนี้ว่าเธอทําให้ฉันตายนะ เพราะเธอทําแบบนี้งั้นฉันก็เลย อาจจะไม่ใช่เป็นเคสนี้เคสนี้เขาอาจจะรู้สึกผิดเสียใจอะไรของเขาอับอายหรืออะไรแต่บางเคสค่ะพระอาจารย์ เช่น ผู้หญิงคนบางคนเนี่ยสามีนอกใจแล้วเขาก็ตัดสินใจฆ่าตัวตายเพื่ออยากให้สามีรู้สึกผิด เขาตายไปด้วยความอาฆาตสามีของเขาอย่างนี้ค่ะ สามีไม่ได้บาปเพราะว่าไม่ได้เป็นคนที่อยากให้เธอไปตายเพราะบาปที่ไปนอกใจใช่แต่ความจองเวรของผู้หญิงคนนี้ก็จะมีผลกับผู้ชายคนนี้ในภพชาติถัดไปถูกไหมคะพระอาจารย์,การจองเวรจะไม่สามารถจองเวรกันได้หากอีกฝ่ายหนึ่งไม่ได้มีการทําเวรตอบ การจะจองเวรกันได้ก็ต่อเมื่อมีฝ่ายคู่กรณีทําเวรตอบถ้าเป็นการจองเวรโดยฝ่ายเดียวมันเกิดขึ้นไม่ได้ธรรมชาติไม่อํานวยผลหรืออําใบอนุญาตให้คนที่จะจองเวรโดยที่ไม่มีคู่กรณีตอบ มันต้องมีคู่กรณีกันเขาต้องการจะจองเวรสามีซึ่งสามีไม่ได้เคยกระทําเวรตอบกับเขาเลยไม่ว่ากรณีใด ๆ ถ้าเป็นเวรก็เป็นเวรในแง่ของการทําให้เขารู้สึกเสียใจ น้อยเนื้อต่ำใจจนนําไปสู่การฆ่าตัวตาย ถ้าเป็นเวรในกรณีนี้ถ้าเขาจะอาศัยมูลเหตุอย่างนี้มาก่อเวรสามีคืนจริง ๆ พระพุทธองค์ก็ตรัสไว้ชัดเจนว่าเวรย่อมระงับด้วยการไม่จองเวรการจองเวรไม่ได้ทําให้เขารู้สึกตัวว่าสิ่งที่เขาทําเป็นความผิด แต่การที่เราไปจองเวรเขาเราจะสร้างเวรให้กับตัวเองแล้วใจเราก็เป็นทุกข์ ฉะนั้นวิธีที่ดีที่สุดคือการระงับเวรตัวเองดีกว่าไม่ว่าจะเป็นมนุษย์หรือมนุษย์ที่ละชีวิตไปแล้วหรือดวงจิตดวงวิญญาณใดก็ตามที่ผูกใจอาฆาตจองเวรใด ๆ ไว้ก็ตามขอให้ยึดถือหลักธรรมคําสอนของพระพุทธเจ้าว่าเวรย่อมระงับด้วยการไม่จองเวร ถ้าเราไม่ไม่ตั้งจิตที่จะระงับเวรในใจตัวเอง เราก็จะมีความทุกข์และความผูกเวรจะดึงเราไปสู่การกระทําเวรกันอย่างนี้ไม่มีทางที่สิ้นสุด ,00.33.32,00.35.37,
, เหมือนอย่างลูกเคยได้ยินเรื่องของสาเหตุที่พระพาหิยะถูกวัวขวิดตาย เพราะแม่วัวตัวนี้ ในอดีตเคยเป็นนางโสเภณีที่พระพาหิยะกับแก๊งของพระพาหิยะไปปล้นแล้วก็คือไปมีอะไรกับเขาด้วยแถมยังไม่จ่ายตังค์แถมยังปล้นฆ่าเขาแล้วปล้นเขาอีก ผู้หญิงคนนั้นผูกอาฆาตคนที่ฆ่า แสดงว่าเขาก็ต้องมีจิตโยงหมายถึงว่าพอเขาฆ่าเสร็จ เจ้าแม่วัวตัวนี้ก็เลยแบบว่าเกิดกี่ชาติก็มาตามไล่ฆ่าคนกลุ่มนี้ไปตลอด อันนี้ก็คือเป็นเพราะว่าเขาได้มีจิตที่ไปโยงกับการตายครั้งนั้นอะไรอย่างนี้ใช่ไหมคะพระอาจารย์,อันนี้แน่นอนเป็นการกล่าวถึงการก่อเวรกันทั้งสองฝ่ายมีคู่กรณีอื้อแน่นอนก็ต้องคําตอบกันไปคําตอบกันมาอย่างนี้ไม่มีที่สิ้นสุดอยู่แล้วแม้ในชาติสุดท้ายพระนั้นถูกแม่โคขวิดตายแต่ในฐานะของความเป็นพระอรหันต์แม่โคนั้นก็หนักเหมือนกัน ,00.35.40,00.36.46,
,พระอาจารย์เคยสอนพวกเราแล้วว่าถ้าเรามีความโกรธ บางครั้งมันค้างในจิตในใจหรืออารมณ์อะไรต่าง ๆ ที่มันค้างพอเวลาเราเดินจงกรมมันจะเกิดการถ่ายทอดถ่ายเทอารมณ์ออกมาบางคนไม่รู้ก็ไปพยายามตัดอารมณ์ทําไมฉันถึงคิดลบฉันกําลังเดินจงกรมอยู่นะ แต่พระอาจารย์บอกว่าให้ถ่ายอารมณ์ออกมาเพราะว่าตัวเนี้ยถ้าไม่ถ่ายมันก็จะหมักดองในจิตของเราแต่พระอาจารย์บอกว่าให้ระมัดระวังว่าในขณะที่มันถ่ายเทอย่าไปคิดเพิ่ม ทีนี้เราจะรู้ได้ยังไงคะพระอาจารย์ว่าอันไหนเป็นตัวถ่ายเท อันไหนเป็นตัวคิดเพิ่มอยากให้พระอาจารย์ช่วยยกตัวอย่างตอนที่สมัยพระอาจารย์ถ่ายเทอารมณ์โกรธในอดีตของพระจันทร์หรืออะไรก็ได้เจ้าค่ะ แล้วแยกให้ลูกเห็นทีว่าอะไรเรียกว่าอันนี้ของเก่าแล้วอันนี้เพิ่มอย่างนี้ค่ะ,"ตอนสมัยพระอาจารย์ปฏิบัติพระอาจารย์ยังไม่เคยเข้าใจคําว่าถ่ายเทอารมณ์เพราะไม่มีใครสอน ในขณะที่นั่งสมาธิอยู่ก็ไปนึกถึงคู่กรณีขณะที่เป็นฆราวาส นั่งสมาธิอยู่ดี ๆ นี่แหละแต่จิตมันวางแผนไว้ว่ามึงเวลาสิกขาออกไปกูจะไปดักรอตีมึงอยู่ตรงนั้นกูจะเตรียมอาวุธไปด้วยมึงผ่านมาเมื่อไหร่ มึงเสร็จกูเมื่อนั้นวางแผนอะไรอย่างนี้ แต่อีกจุดหนึ่งก็บอกว่าไม่ได้เราเป็นพระเรามาคิดอย่างนี้ไม่ได้ คือพยายามจะกดความคิดอันนั้นไว้คือตอนนั้นยังไม่เข้าใจวิธีการถ่ายเทอารมณ์แล้วเราก็มาฝึกแผ่เมตตาแล้วก็บอกจงเป็นสุขเป็นสุขเถิดนะอย่าได้มีเวรต่อกันและกันเลย อีกจุดหนึ่งจิตที่มันอาฆาตจองเวรเขาบอกว่ามึงจะไปให้คู่กรณีมึงเป็นสุขได้ยังไง ต้องออกไปสึกออกไปแล้วต้องไปจัดการมันให้ได้ไอ้คนคนนี้ หยามน้ำใจกูเหลือเกินอะไรประมาณนี้ เจ็บใจอยู่อย่างนี้สุดท้ายจิตก็พลิกมาอีกว่าจงเป็นสุขเป็นสุขเถิดอย่าได้มีเวรต่อกันและกันเลย พอสักพักหนึ่งการแผ่เมตตามันอ่อนลงก็มาวาง
วางแผนที่จะไปดักตีมันอีกแล้วจนสลับกันไปสลับกันมาอยู่อย่างนี้ยตอนนั้นยังไม่รู้จักการถ่ายเทอารมณ์ก็เลยใช้การแผ่เมตตาเป็นตัวช่วย แผ่เมตตาตลอดทั้งวันทั้งคืน พอหนึ่งเดือนก็สงบแล้วครับไม่มีความคิดในแง่ของอาฆาตเรื่องนี้อีกเลย ฉะนั้นถ้าในกรณีอย่างนี้ให้ใช้แผ่เมตตาช่วยจะดี
	ส่วนการถ่ายเทอารมณ์เครื่องอื่น ๆ พระอาจารย์อยากจะให้แยกแยะว่าความคิดที่เกิดขึ้นกับจิตความคิดใดก็ตามที่เกิดขึ้นโดยที่ไม่ได้เกิดจากความจงใจคิดของเรา ความคิดเหล่านั้นเป็นอารมณ์ที่ถูกถ่ายเทออกผ่านความคิดของเราแต่เราไม่ได้คิดแต่มันถ่ายเทออกผ่านความคิดของเราและแยกอีกอันหนึ่งว่าถ้าความคิดใดก็ตามที่เราจงใจคิดเองอันนั้นคือความคิดที่เกิดจากเจตนาที่เราคิดต่อ ฉะนั้นส่วนที่ถ่ายเทเทออกไปแล้วเราวางสิ่งที่จะคิดต่อจากเรื่องที่ถ่ายเทออกนั้น ",00.37.14,00.40.14,
,อย่างตัวหนูเองในอดีต สมมุติมีคนหนึ่งคนมาทําสิ่งที่ไม่ถูกต้องกับหนูแล้วหนูก็ระหว่างเดินจงกลมสิ่งนี้มันก็จะแทรกขึ้นมาไม่ได้เจตนาแต่มันคิดว่าเราจะตอบโต้เขายังไง เราจะเถียงเขายังไง เราจะให้ความจริงกับโลกยังไง หนูก็ไม่รู้จักคําว่าถ่ายเทเหมือนกันค่ะ แต่ตอนนั้นหนูปฏิบัติอยู่แล้วพระอาจารย์ตั๋นท่านก็บอกว่าถ้าไม่ไหว ถ้าความคิดมันมาแล้วมันต้านแรงไม่ไหวก็ปล่อยให้มันคิดแต่ให้รู้ตัวว่ากําลังคิด เสร็จปุ๊บหนูก็เลยก็ปล่อยยืนคิดเลยค่ะพระอาจารย์เป็นชั่วโมงเลยนะคะมันก็ไหลบ่ามาทีนี้พอมันไหลบ่าใจหนูมันก็เลยมีบวกเจตนาลงไปด้วยคือเจตนาตั้งใจคิดไปเลยว่าคือเหมือนตอนนั้นมันแบบอยากพูดสิ่งนี้เราไม่ได้พูดเพราะเราเลือกที่จะไม่สร้างเวรต่อเลยไม่พูดแต่มันค้างในหัวว่าเราอยากพูดหนูก็เลยอยากพูดอะไรพูดออกมาให้หมดถ้านึกไม่ออกเขียนออกมาให้หมดว่าเธออยากพูดอะไรกับเขาถ้าเธอจะพูดเธอจะพูดอะไร ก็เขียนลงไปอันนี้ถือว่าหนูเจตนาไปด้วยแล้วใช่ไหมคะพระอาจารย์,ในเจตนานั้นมันเป็นเจตนาเพื่อการถ่ายเทไม่ได้เป็นเจตนาเพื่อที่จะสืบต่ออารมณ์การคิดมีอยู่สองแบบคือเจตนาในการคิดโดยการสืบต่ออารมณ์อันนั้นโดยที่ไม่หยุดอารมณ์นั้นเลยอารมณ์นั้นไม่ถูกแก้ไข แต่การเจตนาในการเขียนออกมาเพื่อเราต้องการที่จะถ่ายเทมันออกมาผ่านการเขียนการพูด พอมันถ่ายเทออกมาหมดแล้วมันก็ไม่มีเรื่องมารบกวนอีก ,00.40.23 ,00.42.08,
,*พระอาจารย์ต้นแนะนำเพิ่มเติม ,สิ่งที่พระอาจารย์อยากจะแนะนําก็คือในขณะที่มันเกิดการถ่ายเทอารมณ์เหล่านี้ขึ้นมาเราให้ตั้งเจตนากําหนดไว้ว่า ตอนนี้จิตกําลังถ่ายเทอารมณ์อารมณ์กําลังถูกถ่ายเทออกมาจากจิต จิตกําลังถ่ายเทอารมณ์ออกมา คือให้เข้าใจว่ามันเป็นเรื่องของการถ่ายเทอารมณ์ในระบบของจิตเองให้ตั้งการกําหนดรู้ไว้อย่างนี้มันก็จะเข้าใจในขณะนั้น ๆ ,00.42.42 ,00.43.02,
,"เวลาที่ใส่บาตรแล้วเราแผ่เมตตาให้ผู้ที่ล่วงลับเช่นแม่ปู่ย่าตายายเทวดาหรือสรรพสัตว์
เราจะเหลือบุญให้ตัวเองไหมคะ เราควรใส่บาตรสองรูปทุกครั้งรูปแรกให้ให้ผู้ล่วงลับรูปที่สองให้ตัวเองดีคะ",จุดประสงค์ของการอุทิศส่วนกุศลก็คือให้ผู้ล่วงลับทั้งนั้นแหละเราอย่าอุทิศบุญให้ตัวเราเลยนะครับเราได้บุญอยู่แล้วในผู้ทําพระองค์ก็บอกว่าการทําบุญเราได้แล้วส่วนหนึ่งสองอ่าอุทิศให้กับผู้ที่ละชีวิตไปเขาก็ได้ประโยชน์สองส่วนเราได้แน่นอนอยู่แล้วเราไม่ได้ส่วนส่วนบุญของเราไม่ได้หายไปไหนนะยังเป็นของเราอยู่การอุทิศก็ได้เกิดบุญใหม่จากบุญที่เราอุทิศนั้นได้อีกนะไม่ต้องกลัวว่าบุญจะหมด ,00.43.13,00.43.59,
,ผมทําสมาธิทั้งวันกลัวส่งพลังลบไปให้จัง แต่ก็อยากสนทนาทําด้วยจิตของผมร้อนจัดกิเลส เวลาทําสมาธิกลัวว่าถ้าแชทไปด้วยพลังลบ กลัวจิตผมร้อนกิเลสพอเวลาแชทกลัวผมส่งพลังลบให้ให้กับผู้คน เลยอยากถามพระอาจารย์ เพราะพระอาจารย์บอกว่าพลังลบมันส่งต่อกันได้ ถ้าเราร้อนอยู่แล้วเราทําอะไรลงไปมันจะส่งพลังลบกันออกมาในรูปแบบใด ได้ยังไงแบบไหนคะ,ได้ระบบของจิตถ้าใครตายดี ๆ จะเห็นกระแสออกจากจิตเลยเป็นคลื่นด้วยเป็นคลื่นโยงถึงคือพุ่งไปที่ไหนมันจะโยงไปถึงคนนั้นไปได้ทั้งบวกทั้งลบ โดยเฉพาะคนที่มีสมาธิเยอะเยอะจะจะเห็นเป็นคลื่นเป็นกระแสออกไปเลยเป็นเส้นออกไปเลยนะจากจากกระแสจิตนี่แหละจากจิตนี่แหละเป็นเส้นเป็นสายโยงใยยิ่งกว่าเจ็ดแมงมุม ถ้าใครตาดีนะถ้าใครตาไม่ดีก็จะมองไม่เห็น ,00.44.05,00.45.48,
,พ่อหนูเป็นคนดื้อมากเรื่องกินยา ยาเช้าเป็นยาเที่ยง ยาเที่ยงเป็นยาเย็น ยาเย็นเป็นยาก่อนนอนบอกให้กินกี่ครั้งเฉย ครั้งที่หนึ่งเฉย ครั้งสองครั้งสามเฉย แต่ละครั้งที่กินยาห่างกันสิบห้านาทีสุดท้ายครั้งที่สี่โดนด่า ว่ามึงไม่ต้องไปบังคับกูตายก็ให้มันตายไป เรียกกินยาทุกทีหนูโดนด่าทุกที หนูก็ไม่ตอบโต้ค่ะแล้วอย่างนี้ต่อไปต้องเรียกเขากินยาอีกไหมคะ ไม่งั้นก็จะมีกรรมร่วมกับเขาหรือเรียกอีกเหมือนเดิมดีคะตามหน้าที่ของความเป็นลูกที่ต้องดูแลพ่อด่าก็ด่าไปหรือว่าอยู่ในสมมติไป  ,"ก็เรียกไปตามที่เรามีหน้าที่ในการจัดยาให้ท่าน โดนด่าก็ถือว่าเป็นมงคลสําหรับชีวิตบิดามารดา
ให้ถือว่าเป็นมงคลสําหรับชีวิตอย่าไปอะไรระคายเคืองกับคําด่าของบุคคลผู้เป็นบิดามารดานะขอให้ถือว่ายิ่งด่าเท่าไหร่เราก็ยิ่งมีสติมากเท่านั้น ให้เปลี่ยนแนวคิดเปลี่ยนความคิด อย่ากลัวการถูกด่าอย่ากลัวการถูกต่อว่าท่านจะดุจะด่าจะว่ายังไงก็ตามที่สุดแล้วน้ำใจของพ่อแม่ด่าแค่ไหนก็ตามไม่ถึงกับการฆ่าหรือทําร้ายหรอกไม่ต้องกลัว ",00.46.19,00.47.47,
