question,answer,start_time,end_time,Unnamed: 4,Unnamed: 5,Unnamed: 6
เรามัวแต่ยิ่งคิดเยอะก็ยิ่งฟุ้งซ่านจนลืมรู้ลมหายใจและจนเหนื่อยแทบแย่ เขียนมาแค่นี้คงคงอยากทราบว่าต้องทำยังไงบ้างค่ะอาจารย์,"แน่นอนว่าความคิดฟุ้งซ่านมันส่งผลต่อภาวะความคิดที่หนีออกไปจากฐานลม การที่ความคิดฟุ้งซ่านทำให้เราคิดจนหนีออกไปจากการรู้ลมหายใจเนี่ยไม่ได้เป็นเรื่องผิดพระอาจารย์อยากจะบอกว่าความคิดฟุ้งซ่านนี้เป็นธรรมชาติอย่างหนึ่งในชีวิตเราที่ต้องเกิดขึ้น พระพุทธเจ้าเองก็เคยเจอในภาวะก่อนที่องค์จะตรัสรู้ ผมก็เจอภาวะนี้ ความฟุ้งซ่านเกิดขึ้นกับพระองค์ ทีนี้เราต้องมาดูว่าความฟุ้งซ่านนั้นเป็นความฟุ้งซ่านที่ประกอบด้วยกุศลหรืออกุศล เราอย่าพยายามดับความฟุ้งซ่านเด็ดขาด อย่าห้ามความฟุ้งซ่านไม่ให้เกิดขึ้น อย่าอยากไปหยุดความคิด ซึ่งความคิดที่ฟุ้งซ่านจะไม่อยู่ภายใต้การควบคุมบังคับในเจตนาของเรา ฉะนั้นจึงไม่เป็นผลดีเลยที่เราจะไปควบคุมความฟุ้งซ่านนั้นให้หยุดแล้วกลับมารุม ไม่ได้เป็น ไม่ควรจะทำอย่างนั้น เราควรจะรู้ว่าความฟุ้งซ่านนั้นประกอบด้วยกุศลและอกุศล ถ้าเป็นความฟุ้งซ่านที่ประกอบด้วยอกุศลอันนี้ควรละ ถ้าเป็นความฟุ้งซ่านที่ประกอบไปด้วยกุศล ขอให้รู้ว่าความฟุ้งซ่านที่ประกอบไปด้วยกุศลนี้ไม่มีโทษแต่ประการใด พุทธเจ้าก็ตรัสเองว่าเราไม่เห็นโทษของความฟุ้งซ่านอันเกิดจากกุศลนี้เป็นเพียงแต่ว่าความฟุ้งซ่านอันเกิดจากกุศลนี้ทำให้กายเหนื่อย กายเกิดความล้าเท่านั้นเอง การอ่อนล้า ฉะนั้นเพื่อป้องกันเพื่อต้องการที่จะให้กายไม่เหนื่อยและไม่อ่อนล้า พระองค์จึงบอกว่าตถาคตได้ดำรงจิตไว้ในภายในก็คือการเข้ามาดูลมหายใจด้วยอานาปานสติดำรงจิตไว้ในภายในด้วยอานาปานสติ
คำว่าดำรงจิตไว้ในภายในด้วยอานาปานสติ คือการรุมนั้นไม่ได้ไปกำจัดความคิด ไม่ได้ทำความคิดให้หายไป ความคิดมีอยู่เหมือนเดิมเป็น เพียงแต่ว่าสามารถระลึกรู้ลมหายใจในขณะที่คิดนั้นไปด้วยกันเลย พระอาจารย์คะ อย่างบางคนอาจจะไม่เข้าใจคำว่าฟุ้งซ้านเชิงกุศลก็คือหมายถึงว่ากองธรรมความรู้ทั้งหลายเหมือนจะประเดประดังเข้ามาคิดถึงเรื่องธรรมะอะไรอย่างนี้หรือเปล่าคะพระอาจารย์ ใช่ คิดในแง่ของกุศลก็เช่นการพิจารณาธรรมจนสร้างออกไปที่อาจทำทั้งกลางวันกลางคืนโดยไม่หยุดไม่หย่อน อันนี้ก็คือในส่วนของเป็นกุศล แต่ถ้าซ่านไปในอกุศลอันนี้พุทธเจ้าบอกควรละและควรละนี่ไม่ใช่ไปละความคิดนะ คำว่าควรละในความหมายของพระเจ้าคือรู้ว่านี่คือความฟุ้งซ่าน ความฟุ้งซ่านกำลังเกิดขึ้นกับจิต จิตเรากำลังมีความฟุ้งซ่าน ความฟุ้งซ่านกำลังปรุงแต่งจิต จิตกำลังถูกความฟุ้งซ่านปรุงแต่งอยู่ นี่คือความฟุ้งซ่าน ความฟุ้งซ่านกำลังเกิดขึ้นกับจิต จิตกำลังมีความฟุ้งซ่าน ความฟุ้งซ่านกำลังปรุงแต่งจิต จิตกำลังถูกความฟุ้งซ่านปรุงแต่ง รู้อย่างนี้ซ้ำซ้ำซ้ำซ้ำ ไม่ต้องไปดับมัน แต่การรู้อย่างนี้แหละมันจะเป็นการละไปในตัว ละด้วยการรู้ พวกเราคือพยายามผลักไสโดยไม่รู้ว่ายิ่งผลักไสแปลว่าเราไปเพิ่มความอยากเป็นกิเลสเข้าไปอีกตัวนึงซ้ำซ้อนเข้าไปอีก",00:27:56,00:31:31,,,
เคยนั่งสมาธิแล้วรู้สึกว่าตัวเองลอยขึ้น รู้สึกกลัวไม่กล้านั่งสมาธินานนาน มันเกิดจากอะไรครับพระจารย์และควรปฏิบัติอย่างไรต่อครับ,ลักษณะของสมาธิจะเป็นอย่างนี้จะทำให้กายเบาใจเบา กายเบาใจเบานี้มันก็เลยเหมือนกับว่าตัวเราลอย แท้จริงแล้วมันเป็นผลจากการทำสมาธินั่นแหละก็คือผลของเขาเป็นแบบนี้ แล้วเราไม่เข้าใจว่าผลของสมาธิมันเป็นแบบนี้ พอเจอผลของสมาธิที่มันเป็นแบบนี้ก็เลยกลัวความเป็นสมาธิแบบนี้ เพราะไม่เข้าใจคือคนที่ไม่มีความรู้ไว้ก่อนในการปฏิบัติ เวลาผลมันเกิดขึ้นมาเนี่ยก็เลยไม่รู้ว่าจะต้องทำยังไง ก็เลยกลายเป็นความกลัวไป วิธีการก็คือระลึกถึงพระรัตนตรัยให้แนบแน่นกับจิต ความกลัวนี้ความกลัวจะไม่เกิดขึ้นกับจิตในภาวะการของการทำสมาธิ เจอสภาพการอย่างนี้กระแสรัตนตรัยจะรองรับผิดไม่ให้ตกใจหรือกลัว,00:31:31,00:32:37,,,
ในบทท่องธาตุทำไมถึงไม่มีสมองปรากฏอยู่ในธาตุใดคะ,"มันสมองเนี่ยมันเป็นอยู่ในจากอาการสามสิบสอง ซึ่งไม่เกี่ยวกับธาตุหรือถ้าจะโยงลงสู่ธาตุก็เป็นมันข้น มันข้นก็จัดอยู่ในธาตุน้ำ เมื่อมันข้นคือมันสมองจัดอยู่ในธาตุน้ำแล้ว
ก็ธาตุสี่มุ่งเพื่อพิจารณาทาสไม่ได้มุ่งเพื่อพิจารณาอาการสามสิบสอง อาการสามสิบสองเรียกว่า ทวัดติงสาการปาฐะ คือการพิจารณาอาการสามสิบสอง อย่าเอามาปนกับการท่องธาตุหรือการพิจารณาธาตุ การที่พิจารณาธาตุมุ่งให้เห็นเป็นธาตุ จะมีกี่ประการก็ตามก็เพื่อให้เห็นดินน้ำไฟลมเท่านั้น แล้วก็มีครั้งหนึ่งพระอาจารย์เคยเคยบอกพวกเรานะคะว่าทุกอย่างในในร่างกายต่อให้เราแยกว่าเป็นธาตุน้ำแล้ว มันก็มีธาตุดินไฟลมผสมอยู่ด้วย เช่นสมมติน้ำปัสสาวะของเรามันก็จะมีธาตุดิน พวกแร่ธาตุอยู่ในนั้นด้วย มีอุณหภูมิอยู่ในนั้นด้วย ธาตุไฟที่เราเลือกแยกเป็นธาตุเนี่ยก็แค่ว่าธาตุไหนมันเด่นชัดขึ้นมา มีส่วนปริมาณที่มากกว่าเราก็แยกไปอยู่ในธาตุนั้นๆ ดังนั้นอย่างนี้ค่ะจริงจริงในธาตุใดใดที่เราชอบมันก็ผสมให้มีดินน้ำลมไฟลงไปอยู่ในนั้นด้วยกันทั้งสิ้นนะคะ",00:32:37,00:34:02,,,
ถ้าเราปล่อยหิ้งพระว่างว่างไม่ได้ถวายน้ำหรือของถวายเลยจะไม่เป็นสิริมงคลไหมคะ แล้วอยากทราบต่อว่าที่นั่นมีหิ้งมีเทพบางองค์ เวลาเราไหว้ถวายน้ำอาหารท่านได้รับจริงจริงไหมคะหรือเราควรทำบุญให้ท่านแทน,อยากให้เข้าใจว่าหิ้งพระมีพุทธรูปมีเทพหรือมีอะไรอยู่ก็ตาม แม้จะไม่จัดน้ำถวายน้ำหรือสิ่งของข้าวของใดใดบนหิ้งก็ไม่ได้เป็นปัญหาอะไร ไม่ได้เสียความเป็นมงคลแต่ประการใด เพราะมงคลในทางพุทธศาสนาไม่ได้เกี่ยวข้องกับการมีหิ้งพระหรือไม่มีหิ้งพระ จากนั้นไปดูมงคลในทางพุทธศาสนาให้ดีว่าหลักคำสอนสอนให้เรามีมงคลอย่างไรในชีวิต เมื่อมีหิ้งพระแล้วการที่เราให้น้ำให้อาหารอย่างนี้ท่านจะได้รับจริงไหม ไม่ได้รับจริงจริงแล้วอีกอย่างหนึ่งการที่เราให้น้ำให้อาหารเพื่อให้สิ่งที่เราคาดว่าท่านจะได้รับน่ะ โดยเฉพาะคิดว่าพระพุทธเจ้าจะมารับอาหารของเรา ขอให้ทำความเข้าใจใหม่ พระพทธเจ้าไม่ได้อยู่ในสถานะของผู้รับของเซ่นไหว้จากใครผู้ใด พระองค์เป็นผู้ปรินิพพานแล้วเข้าสู่สภาพธรรมที่ไร้การปรุงแต่งทั้งปวง ไม่มารับของเซ่นไหว้ลักษณะอย่างนี้และก็แน่นอนว่าไม่ใช่วิสัยที่จะมารับของเซ่นว่าอย่างนี้ การกระทำอย่างนั้นจึงไม่เกิดประโยชน์ ไม่มีประโยชน์และก็ไม่เป็นประโยชน์ต่อผู้กระทำ และไม่มีประโยชน์ต่อผู้ที่เราคิดว่าท่านเหล่านั้นจะได้รับผลในการทำของเซ่นไหว้อย่างนี้ แม้เทวดาเองก็ตามเขาก็มีอาหารของเทวดา เขาไม่ได้บริโภคอาหารของมนุษย์ ฉะนั้นไม่มีความจำเป็นใดใดที่จะไปทำอย่างนั้นเลย ไม่เข้าใจ คือถ้าเป็นเทพเทวดาทำบุญอะไรแล้วก็อุทิศบุญให้ท่านอย่างนี้แทนดีกว่าใช่ไหมได้ ใช่ถูกต้อง,00:34:02,00:36:06,,,
ทำยังไงกับคนที่เขาไม่ชอบเรา แผ่เมตตาให้ตลอด แต่วนเวียนเจอตลอดค่ะ เราหยุดแต่อีกคนไม่เคยหยุดเลย เขาเป็นผู้ใหญ่กว่าด้วยค่ะ,ถ้าเรื่องนี้ต้องอยู่ในเรื่องของการจองเวร เวรมาในรูปแบบของผู้คนที่มีตัวตน ไม่จำเป็นต้องเป็นผู้คุมนายเวรที่มีดวงจิตดวงวิญญาณเสมอไป ก็เปรียบเทียบให้เห็นดั่งพระเทวทัตกับพระพุทธองค์ พระองค์ก็เมตตาทุกภพทุกชาติ เทวทัตก็ตามจองล้างผลาญทุกภพทุกชาติ เพราะสองคนนี้เป็นเวรกรรมมาแต่ไหนแต่ไร ในช่วงระยะเวลาที่ไม่ได้เจอพระพุทธองค์ เทวทัตเขาก็ทำบุญสุนทาน จิตใจดีงอกงามในบุญกุศลบังเกิดอยู่บนเทวโลก พระพุทธเจ้าเราก็ไม่เจอเทวทัตก็บำเพ็ญคุณงามความดีด้วยพุทธบารมีอยู่แล้วก็บังเกิดอยู่เทวโลก แต่ท่านจังหวะไหนก็ตามที่มาเจอกันเมื่อไหร่ความเป็นเวรนะมันอดใจไม่ได้ ต้องตามจองล้างจองผลาญกันแบบหยุดยั้งไม่ได้ เวรเนี่ยมันทำให้หยุดที่จะ ก่อเวรกันต่อกันไม่ได้ แต่พระพุทธเจ้าก็ฝึกในการที่จะให้อภัยมาตลอดที่จะไม่สืบต่อเวรเหมือนกันทุกครบทุกชาติเหมือนกัน แต่นั่นเป็นเรื่องของความก่อเวรความจองเวรความดีเวรต่อกันในปางก่อนมา ก็ฉะนั้นถ้าเป็นลูกพระพุทธเจ้าก็ทำตามท่าน ก็เมตตาเขาไป เราทำของฝ่ายเรา เขายังจองเวรก็เป็นปัญหาของเขานะคะ,00:36:06,00:37:41,,,
เมื่อก่อนเคยฟังธรรม แต่ไม่เคยเข้าใจลึกซึ้ง แต่มาช่วงนี้รับรู้และเข้าใจได้มากขึ้น เมื่อก่อนกลัวความตายแต่ตอนนี้ไม่กลัวแล้ว จนเรารู้ว่าเป้าหมายสูงสุดจะบวชและช่วงระหว่างนี้เรายังมีภาระหน้าที่ต้องทำอยู่ เราควรปฏิบัติตัวอย่างไรและที่เป็นแบบนี้เราใกล้จะเข้าบรรลุธรรมแล้วใช่ไหมครับ,ก็ขอโมทนากับโยมที่ได้กลับมาสนใจธรรมะอีกครั้งหนึ่ง แล้วก็เห็นเป้าหมายชีวิตและสิ่งตัวเองควรจะดำเนินไปในด้านใด เรื่องนี้นานก็ขอให้ปฏิบัติตามรูปแบบและหลักการที่มีอยู่ในเพจนี่แหละ ศึกษาดูมันจะมีแบบวิธีทำตามนั้นในฐานะที่เราทำได้ อย่าทำเกินกว่าฐานะที่เราจะทำ อันดับแรกก็คือระลึกระลึกถึงพระรัตนตรัยมากมาก แล้วก็ช่องธาตุกรรมฐานสี่ พิจารณาร่างกายของขั้นตอนเข้าไปสู่การท่องขันธ์ห้าและก็เรียนรู้การเกิดดับพร้อมกับเข้าใจอริยสัจสี่ด้วย ตามลำดับทำไปตามขั้นตอนอย่างที่วางไว้จะเกิดประโยชน์สูงสุด,00:37:42,00:38:50,,,
พ่อน้องที่ทำงานป่วยและต้องผ่าตัดใหญ่ซึ่ งค่ารักษาพยาบาลสูงมาก น้องเลยต้องกู้เงินเพื่อมารักษาพ่อและถ้าน้องกู้ไม่ผ่านและไม่สามารถรักษาพ่อได้แบบนี้น้องจะบาปได้,บาปไม่เกิดขึ้นเพราะไม่ได้เกี่ยวกับการทำผิดพลาดในเรื่องของมารดาบิดาเลย การมีใจขนขวายในการที่จะนำเงินมาเพื่อรักษาพ่อก็เป็นเจตนาที่ดีอยู่แล้ว บาปไม่สามารถที่จะเกิดขึ้นในจิตชนิดนี้ได้เลย ยังไงบาปก็เกิดขึ้นไม่ได้ อย่ากังวล อย่าวิตกคิดว่าบาปจะเกิดขึ้นและไม่ต้องกังวล แต่การตั้งใจทำให้ถึงที่สุดผลออกมาอย่างไรก็ตามเมื่อไม่ได้ก็คือไม่ได้ ถ้ามันได้ก็ได้ผลดีที่เราจะได้ดูแลรักษาพ่อ ไม่ต้องกังวลไม่ต้องวิตก ไม่มีบาปมีในในภาวะอย่างนี้ อยู่ในเจตนานะคะเพราะว่านี่เจตนาดี ไม่ได้มีเจตนาทำร้ายพ่อเลย มันก็ไม่เป็นบาปอยู่แล้วนะคะ,00:38:53,00:39:55,,,
เวลาท่องธาตุ กำหนดเห็นเป็นตัวอักษรแบบนี้ทำได้ไหมคะ ก่อนหน้าหนูท่องเป็นเสียงแล้วตอนแรกท่องได้ แต่ช่วงนี้จะมีความคิดความจำเก่าเข้ามาแทรกบ่อยบ่อย ขอพระอาจารย์แนะนำลูกด้วยค่ะ,ถ้าท่องเป็นตัวอักษรก็ได้แล้วจะดี แล้วค่อนข้างให้ผลดีเพราะมันจะดึงใจเราไว้กับบทท่องนี้ได้ สำคัญมากคือคือจิตเราเนี่ย ขณะที่ท่องมันแว๊บไป ก็อย่าไปกังวลขณะจิตที่มันแว๊บไปในเรื่องสัญญาเก่าเก่า สัญญาต่างต่างนานา เรื่องราวที่เราต้องคิดอย่างนี้นี้ ไม่ต้องไปกังวลหรอก มันเป็นธรรมดาอันหนึ่งในขณะที่ปฏิบัติมันจะต้องเกิดสิ่งเหล่านี้แทรกเข้ามาประกอบกับการปฏิบัติอยู่ เรียกว่าได้ว่าเป็นส่วนหนึ่งของการปฏิบัติก็ว่าได้ แต่เราต้องเข้าใจนะว่าการท่องธาตุเป็นเรื่องของเจตนา สิ่งที่แทรกเข้ามาเนี่ยเป็นสิ่งที่นอกเจตนา เมื่อเป็นสิ่งนอกเจตนาแล้วมันก็ไม่ได้เป็นปัญหาอะไร ขอให้เราแยกแยกตรงนี้ให้ออก เรารักษาเจตนาคือการท่องธาตุของเราไปให้ติดต่อเนื่องกันก็พอ,00:39:55,00:41:03,,,
เวลาโดนผีอำเราควรท่องบทไหนดีครับพระอาจารย์,ท่องบทระลึกถึงรัตนตรัยเนี่ยไว้ก็พอ,00:41:04,00:41:20,,,
ถ้าเรามีเหงื่อออก มีน้ำตา เรานึกถึงธาตุน้ำว่าท่องช่วงธาตุน้ำอย่างนี้ถูกไหมคะ หรือว่าเราต้องท่องธาตุสี่ทั้งหมดคะ,ควรจะท่องธาตุสี่ทั้งหมดเลย,00:41:09,00:41:31,,,
เราจำเป็นต้องสวดมนต์ไหมครับเพราะตอนสวดมักสงสัยว่าปฏิบัติถูกต้องหรือเปล่า,บทสวดที่แนะนำให้สวดก็คือ บทรัตนปริตร ตอนนี้ให้สวดได้ตลอดเวลาเลย บทรัตนปริตรนี้ มนต์บทอื่นไม่ได้ถือเป็นความจำเป็นที่จะต้องนำมาสู่การสวด แต่บทรัตนปริต์สามารถสวดได้และแนะนำให้สวด จะมีอยู่ในบทปริตรอยู่ในเพจธรรมนาวามีขึ้นไว้หรือเปล่า ไม่แน่ใจว่าเพจครูเงาะมีขึ้นไว้ในหน้าเพจหรือเปล่าเรื่องของพระปริตนะ ให้ดาวน์โหลดเอาบทปริตร รัตนปริตรเนี่ยเอาไปสวดแทนบทสวดมนต์อื่นอื่นได้เลยจะเกิดผลดีมากมาก,00:41:31,00:42:25,,,
"ก่อนเข้ามาฟังจิตฟุ้งมากเพราะจิตไปเกาะกับความคิดตลอดเวลา เมื่อได้มาฟังพระธรรมจากพระอาจารย์ในวันนี้ก็น้อมธรรมเข้าสู่ใจ จิตกลับมาเกาะกับลมหายใจ
เห็นใจกลับมาที่กาย เห็นความคิดดับลงทันทีแล้วจิตก็นิ่งลงทันที แต่พอเห็นว่าจิตนิ่งรู้สึกมีความสุขและอยากนิ่งแบบนี้ตลอดไป พออยากก็ฟุ้งทันที ควรจะไม่อยากใช่ไหมคะและ
ควรระงับความอยากยังไงคะ","ถ้าเรื่องอย่างนี้เกิดขึ้นต้องเอาหลักของอริยสัจสี่มาจับ หลักอริยสัจสี่คือให้รู้จักทุกเหตุของทุกความดับของทุกข์และข้อปฏิบัติต่อทุกข้อปฏิบัติต่อเหตุของทุกข์ ข้อปฏิบัติต่อนิโรธคือการดับไปของทุก ความคิดเหล่านี้จะเป็นทุกขสัจ การเกิดขึ้นของความคิด มันมีเหตุแห่งการทำเกิดมาก็คือ สมุทัยสัจจะ ความคิดที่ดับลงไปเรียกว่า นิโรธสัจจะ วิธีปฏิบัติก็คือปฏิบัติก็คือเรียกว่าวิธีปฏิบัติจะต้องปฏิบัติทุกข์ โดยการรู้หรือเห็นความคิดที่เกิดขึ้น เริ่มที่เรารับรู้ที่ลมแล้วก็ไปเห็นความคิด สติระลึกรู้ลมแล้วไปเห็นความคิด พอเห็นความคิดปุ๊บ ความคิดถูกรู้ถูกเห็นก็ดับลงไปในทันที ตอนที่ดับลงไปในทันทีปั๊บเนี่ย เราไปติดผลของการดับซึ่งมันจะอำนวยผลให้เกิดความเบาความสบายความสงบทางใจ มันทำให้เราไม่ได้ปฏิบัติต่อนิโรธว่าไอ้ความคิดที่ดับเนี่ย มันดับลงไปที่ไหน เราไม่ได้ตามดูว่าที่ดับไปมันดับลงไปที่ไหน เราไปเสวยผล เราเลยพลาดจากการที่จะปฏิบัติในจิตของนิโรธท่าน เมื่อเราไม่ได้ปฏิบัติในจิตของนิโรธเนี่ย มรรคมันก็จะไม่บริบูรณ์ เพราะมักจะบริบูรณ์ได้ก็ต่อเมื่อรู้ทุกข์ พระสมุทัย นิโรธให้แจ้ง
เมื่อนิโรธไม่ได้แจ้ง เราไปติดผลของนิโรธคือความเบาความสบาย มันจึงเกิดมีปัญหาซ้อนขึ้นมา ปัญหาที่ซ้อนขึ้นมาย่อมนำมาซึ่งความทุกข์ เราก็วุ่นวายอีกมันเป็นวงจรอย่างนี้ ถ้าเราไม่เข้าใจวงจรอย่างนี้ปั๊บเนี่ย เราก็อยู่ในกระบวนการของวงจรของทุกข์ไปตลอด ฉะนั้นต้องทำกิจของนิโรธให้ทัน ดังนั้นนิโรธคือความดับของความคิดปรากฏนี้ มันเป็นการดับไปโดยที่เราต้องเข้าใจการดับไปของความคิด ดับไปโดยที่เหลือหรือไม่เหลือ ดับไปแล้วดับไปตรงที่ไหน ให้ชัดเจนกับตนเองคือเรียกว่าทำให้มันแจ้ง ถ้าทำการรู้ทุกข์ รู้สมุทัย รู้นิโรธได้ชัดเจนอย่างนี้ ขณะที่ทำนั้นก็เป็นมรรค ค่ะ บางครั้งเวลามันดับอ่ะค่ะพระอาจารย์ มันก็มันไม่ได้ที่เดิมทุกที บางทีมันดับที่ภาพที่หัว บางทีมันดับกลางอกอย่างนี้ค่ะ บางทีมันก็เป็นอย่างนี้ค่ะอาจารย์ มันเกิดที่ไหนมันก็ต้องดับที่นั่นใช่ไหมล่ะ เกิดขึ้นที่หัวก็ต้องดับที่หัว เกิดที่จิตก็ต้องดับที่จิต
โอเค เข้าใจแล้วค่ ะเพราะหนูหนูคิดว่าเพราะบางครั้งหนูเห็นการเกิดมันเกิดที่จิต มันตุ่ยออกมาแล้วมันก็ดับ แบบพอเราเห็นก่อนที่มันจะผุดออกมาเนี่ยมันดับ แต่บางครั้งบางทีมันเป็นความคิดหรือเป็นภาพมันขึ้นมาที่หัวแล้วมันก็ดับลงไปที่หัว นึกว่าเอ๊ะผิดหรือเปล่า ทำไมมันไม่ดับตรงนี้แล้วมันมาดับตรงนี้อะไรอย่างนี้ค่ะค่ะอาจารย์",00:42:10,00:45:55,,,
จะสอนให้บุตรหลานเด็กรุ่นใหม่เข้าสู่การปฏิบัติในพุทธศาสนาได้อย่างไรบ้างคะ ขอคำแนะนำด้วยค่ะอาจารย์,"ผู้ใหญ่ที่ไปสอนบุตรหลานให้เข้ามาสนใจหลักคำสอนทางพุทธศาสนาเนี่ยจะยากมาก เด็กจะบอกว่าขี้บ่นพูดมาก ไม่ต้องมาสอน อันนี้เป็นปัญหาอย่างหนึ่งของผู้ใหญ่ แล้วก็เป็นปัญหาอย่างหนึ่งของเด็กที่ไม่ชอบให้ใครว่ากล่าวบอกสอนตนเอง แล้วก็เป็นอย่างนี้มาทุกทุกทุกสมัย ขอให้สบายใจว่าเด็กเนี่ยเมื่อเขาสนใจจะปฏิบัติเดี๋ยวค่อยจะสนใจเอง ขอเพียงแค่เราปฏิบัติแล้วเป็นตัวอย่างที่ดีให้กับเขา เขามีความทุกข์แนะนำในสิ่งที่เป็นประโยชน์กับเขา เขามีปัญหาแก้ไขปัญหาเขาด้วยธรรมะ ความสนใจด้านธรรมะมันจะค่อยค่อยเข้ามาหาเราเอง แล้วตอนนั้นเราถึงจะสามารถบอกสอนเขาได้ แต่ถ้าไปบอกเลยโดยที่ไม่มีเหตุเกิดขึ้นกับเขาเนี่ย เขารับรับยากมาก
ให้ลองนึกถึงพวกเราตอนเด็กเด็กก็ได้ค่ะ จะสนใจมาตั้งแต่เด็กก็เป็นได้ แต่ว่าตัวครูเนี่ยตอนมหาลัยอย่างเปรี้ยวค่ะ แล้วก็พี่ชายไปทำบุญกับหลวงตา ครูเงาะเนี่ยไม่มีบุญเลยไม่ได้ไปทำอะไรกับเขาเลย ใจมันยังไม่ไปตอนนั้น แต่ว่าพอทันทีที่โตมาแล้วเราได้มีโอกาสใครบางคนที่เขาทำแล้วดีกับชีวิต แล้วพอเรามีทุกข์เราใช้สิ่งนั้นน่ะกลับมาแก้อ้าว หายอย่างนี้แล้ว เราก็เลยหันมาสนใจด้วยตัวของเราเองนั้น อย่างที่พระอาจารย์บอกเราทำให้เขาเห็น เป็นให้เขาดู ให้เขาสัมผัส เขาก็จะซึมจากเราเอง",00:45:45,00:47:38,,,
ไม่ค่อยสบายค่ะ เราก็ดูแลตัวเองกินอาหารที่มีประโยชน์ แล้วทางธรรมมีวิธีอย่างไรได้บ้างคะเพื่อให้เรามีสุขภาพที่ดีขึ้น,พุทธเจ้าบอกว่าร่างกายเราจะมีสุขภาพแข็งแรงก็อาศัยการรักษาธาตุไฟในร่างกายให้ดี ธาตุไฟที่เรารักษาดีจะทำให้สุขภาพร่างกายแข็งแรง แล้ววิธีที่ทำให้ธาตุไฟอยู่ในร่างกายของเราได้ดี พระพุทธเจ้าบอกว่าคือการเดินจงกลม การเดินจงกลมจะทำให้ธาตุไฟรักษาในร่างกายเราได้ดี ไฟที่ดีสุขภาพก็ย่อมจะดีได้อย่างนี้,00:47:38,00:48:38,,,
ควรสวดมนต์อย่างไรถึงจะถูกต้องหรือสวดมนต์แล้วหาว กลั้นหาวไม่ได้น้ำตาไหลทุกทีเป็นมารหรือเปล่าคะ,สวดมนต์แล้วหาว ใครก็ตามที่มีอาการอย่างนี้ขอให้เข้าใจว่ามีบางสิ่งบางอย่างแฝงเร้นอยู่ในตัวเรา ซึ่งภาวะบางสิ่งบางอย่างที่พูดถึงนั้นอาจจะมาจากสิ่งที่ไม่หวังดีคอยก่อกวนเราอยู่ อำนาจชั่วร้ายหรือสิ่งที่มุ่งเบียดเบียนเราด้วยดวงจิตดวงวิญญาณบางจำพวก ลักษณะอย่างนี้ขอให้เราอธิษฐานจิตเข้าถึงรัตนตรัยมากมาก แล้วสวดบทรัตนปริตหรือบทอัตตานาติยปริต ซึ่งบางทีเราไม่รู้ที่มาของสิ่งที่แฝงเร้นในตัวเรา สองบทนี้แหละถ้าสวดแล้วจะคอยแก้ไข แล้วก็ป้องกันดวงจิตดวงวิญญาณที่ไม่หวังดีนั้นมาก่อกวนเราได้ เป็นบทที่พระพุทธเจ้าให้พุทธานุญาตไว้ในการที่เราจะสวดได้นะคะ,00:48:38,00:49:56,,,
เกี่ยวกับเรื่องของการฝังลูกนิมิตค่ะ,การฝังลูกนิมิตเป็นการกำหนดหมายขอบเขตพระสีมาของพระอุโบสถว่าพระสีมาเนี่ยอยู่ในเขตไหน ทิศไหน ในสีมาคือเขตที่พระพุทธเจ้าให้ภิกษุทำสังฆกรรมภายในพระอุโบสถก็คือเรื่องของฝังลูกนิมิต ซึ่งถ้าลูกนิมิตในแง่มุมอื่นนั้นไม่ใช่ความหมายในหลักการทางพุทธศาสนา หลักการทางพุทธศาสนาเขาทำลูกนิมิตไว้เพื่อ เป็นนิมิตแปลว่าเครื่องหมาย เครื่องหมายของเขตแดนของพระอุโบสถมาถึงตรงนี้นะ ฝั่งทิศตะวันออกถึงตรงนี้ ทิศใต้ถึงตรงนี้ ทิศตะวันตกถึงตรงนี้ ทิศเหนือถึงตรงนี้ คือมันเป็นทิศทั้งแปด ลูกนิมิตจึงมีแปดลูกเห็นไหม แต่เขาทำมาเก้าลูกเพราะอะไร เขาบอกฝังตรงกลางอีกลุกนึง ก็เป็นกำหนดไหมขอบเขตของพระอุโบสถ นี่คือหลักการทางพระพุทธศาสนา นอกนั้นไม่ใช่หลักการทางพุทธศาสนา คือถามเพิ่มเติมมาว่าฟังลูกนิมิตเนี่ยจะได้บุญเหมือนการปฏิบัติธรรมในเจ้าค่ะ พุทธเจ้าไม่เคยอนุญาตหรือไม่เคยพูดถึงเรื่องบุญที่เกิดจากการฝังลูกนิมิต ไม่มีในหลักคำสอน ยืนยันว่าไม่มี ลองลองไปดูบุญสิบประการที่พระพุทธเจ้าสอนไว้ก็ได้ค่ะ ไม่มีจริงจริงนะคะ,00:49:43,00:51:34,,,
