question,answer,start_time,end_time,Unnamed: 4
ในปัจจุบันมักมีคํากล่าวกันว่าจงใช้ชีวิตให้มีความสุข หาทรัพย์ให้มาก มียศสรรเสริญจะได้ไม่ลําบาก ไม่ทุกข์และมีความสุข พระพุทธองค์ได้ทรงสอนให้เราแสวงหาความสุขหรือความสงบสุข การดับทุกข์ในแบบพระพุทธศาสนาต่างจากการดับทุกข์ทางโลกอย่างไร,"พระพุทธศาสนานั้นไม่ได้ปฏิเสธความสุขแบบโลกียะห์ และไม่ได้ปฏิเสธความสุขในเรื่องของกามสุข ไม่ได้ปฏิเสธในการที่มนุษย์จะแสวงหาความสุขใส่ตน และแสวงหาลาภยศตําแหน่งสรรเสริญ และพระองค์ก็รู้ด้วยว่าสิ่งนี้เป็นสิ่งที่มนุษย์ปรารถนา
พระองค์ก็สอนให้มนุษย์กระทําเหตุเพื่อให้ได้ผลอย่างนั้น การได้มาอย่างถูกต้อง โดยชอบธรรม ไม่ใช่ไปทําสิ่งที่ผิดวิสัย ไม่ได้เป็นการสร้างเหตุปัจจัยเพื่อนําความเดือดร้อนมาในภายหลัง แต่การได้ความสุขในลักษณะแบบโลกียะห์นั้น พระองค์ตรัสว่าเป็นประดุจดั่งตักน้ำใส่ถังรั่ว มันไม่มีทางเต็ม แม้จะมีความสุข แต่เราก็สุขในขณะที่เราตักตวงความสุขใส่ตน ถ้าไม่ทําต่อ มันก็จะบกพร่องหรือหายไป ฉะนั้นการที่เราจะต้องมาคอยตักน้ำใส่ถังรั่ว มันก็จะเป็นความลําบาก การดับทุกข์ในความหมายของพุทธองค์นั่นก็คือ หนึ่ง การดับทุกข์โดยอาศัยการดับเชื้อแห่งการนํามาซึ่งความทุกข์ การที่พระพุทธศาสนาตรัส หลักแห่งอริยมรรคแปดเพื่อเข้าไปดับเชื้อแห่งความทุกข์ที่นําสืบไปสู่ภพใหม่ แล้วไม่ให้เราไปทุกข์อีกในภพใหม่นั้น หลักอริยมรรคนี้จึงสอนเพื่อหนึ่งดับทุกข์ในปัจจุบัน สอง ดับทุกข์ในภายภาคหน้า ฉะนั้นการดับทุกข์ในทางพุทธศาสนาจึงเป็นการดับทุกข์แบบถาวร ไม่ใช่การดับทุกข์โดยการแสวงหาแบบในชั้นโลกียะห์นี้ เป็นการดับทุกข์โดยที่ไม่กลับมาทุกข์อีก เรียกว่าเป็นการดับทุกข์โดยถาวรนั่นเอง ",00.42.00,00.45.59,
ในฐานะที่เรานับถือศาสนาพุทธ เราควรเดินทางไปสักการะสถานที่สําคัญในประเทศอินเดียสักครั้งในชีวิตไหม,พุทธองค์เคยตรัสไว้กับอานนท์ว่าผู้เป็นพุทธสาวก ควรที่จะไปนมัสการสังเวชนียสถานที่พุทธองค์ตรัสไว้ว่าควรแก่การสักการะสําหรับหมู่ชาวพุทธเราสักครั้งหนึ่งในชีวิต แต่ถ้าเกิดไม่สะดวกไปไม่ได้ การปฏิบัติบูชาก็ทําได้ที่ไหนก็ได้ แต่ถ้าได้ไปมันดีต่อใจ,00.46.00,00.47.22,
ไม่ได้นั่งสมาธิ แต่คิดเสมอว่าเรื่องที่เกิดขึ้นทุกเรื่องเป็นเรื่องธรรมดา และพยายามไม่ว่าไม่คิดเรื่องของคนอื่น แล้วก็ดูจิตของตัวเองไม่ให้คิดมาก แบบนี้จะได้ไหม,ได้ เพราะการปฏิบัติเข้าไปสู่ความเป็นอริยบุคคลเบื้องต้นนั้นยังไม่ต้องอาศัยกําลังของสมาธิมากเท่าไหร่ อาศัยเพียงแค่การไตร่ตรองด้วยเหตุและผล เพื่อให้เกิดความเข้าใจในความเป็นธรรมดาอยู่เสมอ และจิตเราเมื่อคุ้นเคยกับความเป็นธรรมดาอยู่บ่อยๆ จิตเราก็จะสามารถตั้งมั่นที่จะเห็นทุกอย่าง เกิดดับตามความเป็นจริงได้ ก็ขอให้ปฏิบัติแบบนี้ไปเรื่อยๆ,00.47.23,00.48.16,
"ถ้าเรานั่งสมาธิแล้วพิจารณากายานุสติ, อสุภะ, มรณานุสติ แล้วรู้สึกมีมนุษย์ใสหรือพระพุทธรูปใสมารวมเป็นเรา มีแสงขาวสว่างที่จักระ 4 น่าจะบริเวณท้องหรือหน้าอก ค่อยๆ กระจายความสว่าง 180 องศาซีกซ้ายของร่างกาย เกิดอะไรขึ้น มาถูกทางไหม","ลักษณะอย่างนี้มันเป็นการก่อเกิดของสิ่งที่เรียกว่านิมิต นิมิตเหล่านี้มักจะเกิดด้วยอํานาจของสมาธิ บุคคลผู้พิจารณากายมักจะมีนิมิตเหล่านี้ปรากฏ การปรากฏขึ้นของนิมิตเป็นการปรุงแต่งด้วยอํานาจของสมถะ หรือสมาธิที่กําลังกระทําอยู่
แล้วสมาธินั้นจะแสดงออกฉายภาพต่อจิต โดยดึงเอาเรื่องราวในสิ่งที่จิตเคยเป็นมาแต่ก่อนนี้มาปรากฏให้ทราบ อยากจะให้พิจารณาว่าสิ่งที่ปรากฏขึ้นนี้คือสังขาร เป็นการปรุงแต่งของสังขาร สังขารที่ปรุงแต่งอยู่นี้เป็นสังขารที่มีความไม่เที่ยง มีความไม่คงที่ มีความแปรปรวน และไม่สามารถที่จะตั้งมั่นอย่างงี้ได้ การพิจารณาอยู่อย่างนี้จะทําให้คลายออกจากนิมิต และจิตเมื่อคลายออกจากนิมิต ก็จะเกิดการพัฒนา หรือว่าก้าวออกจากสิ่งที่เรียกว่านิมิตไปสู่สิ่งที่เรียกว่าปัญญาได้
",00.48.17,00.50.08,
มีเพื่อนคนหนึ่งไม่กลัวบาปกรรมเพราะคิดว่านรกไม่มีจริง โดยอ้างว่าผู้ที่นับถือศาสนาอื่นที่ไม่ใช่ศาสนาพุทธจะตกนรกได้อย่างไร,กินยาพิษ ไม่ได้กลัวโทษของยาพิษ ยาพิษก็ยังจะทําร้ายคนนั้น โดยปกติไม่ว่าจะเป็นคนพุทธ คริสต์ อิสลาม พราหมณ์ ฮินดู หากกินยาพิษตัวเดียวกันก็ได้รับพิษแบบเดียวกัน ไม่ได้แยกแยะศาสนา เพราะฉะนั้น นรกหรือสวรรค์ก็ไม่ได้แยกแยะบุคคลผู้นับถือหรือไม่นับถือในศาสนา แต่ด้วยความที่พุทธองค์รู้ธรรมชาติแห่งความเป็นจริงของภพภูมิ คือ สิ่งที่เรียกว่าอบาย จึงนํามาบอกสอนว่าสิ่งเหล่านี้มีอยู่จริง แล้วทางไปอบายนั้นก็เกิดจากอกุศลวิบากทั้งหมด ฉะนั้นไม่ขึ้นว่าไม่ขึ้นอยู่กับว่าใครจะเชื่อหรือไม่เชื่อ แต่ความจริงมีอยู่อย่างนี้ การเชื่อก็จะได้รับประโยชน์ ถ้าไม่เชื่อก็จะเสียประโยชน์ คือไม่ได้พ้นจากโทษ,00.50.09,00.53.46,
แนะนําผู้ที่ชอบดูหมอดูดวงหน่อยว่าจริงๆ แล้วมีอยู่ในพุทธวจนหรือเปล่า,การดูหมอดูดวงมีมาตั้งแต่ครั้งพุทธกาล เมืองอินเดียในเวลานั้นก็มีการพยากรณ์โดยการตํารับตําราทางโหราศาสตร์ แม้พระราชาก็ต้องมีโหราศาสตร์เพื่อทํานายทายนิมิต หรือเกี่ยวกับบ้านเมือง เกี่ยวกับบุคคลเป็นกิจวัตร แต่พระองค์ตรัสไว้ว่าสิ่งที่ นักดูหมอหรือดูดวงทั้งหลายเขาอาจจะสามารถทราบได้ว่า จะเจอเหตุอย่างนี้ เจอเรื่องราวแบบนี้ เจอสิ่งที่ไม่ดีในชีวิตหรือประสบความสําเร็จหรือล้มเหลวอะไรบางอย่าง เขาสามารถล่วงรู้ได้ แต่เขาจะไม่สามารถรู้ได้ว่าเหตุที่นํามาซึ่งผลอย่างนี้มาจากไหน เขารู้แต่เหตุ แต่พระองค์รู้เหตุ พระองค์รู้เหตุว่ากรรมชนิดไหนนํามาและก็สอนวิธีในการที่จะแก้เหตุโดยการแก้กรรมนั้นอย่างถูกต้อง แต่ถ้าโหราศาสตร์จะไม่ได้แก้กรรมอย่างถูกต้อง มันอาจจะแค่แก้เคราะห์ แก้เรื่องราวแบบเฉพาะหน้า ขจัดปัดเป่าด้วยพฤติกรรมบางอย่าง มันไม่ได้หายไปจริงๆ มันยังมีอยู่ สุดท้ายมันก็จะวนกลับมาเหมือนเดิม แล้วก็เป่าใหม่ แต่การแก้เหตุที่พระองค์ตรัสไว้ คือ แก้ที่เหตุ จะหยุดเรื่องนั้นอย่างถาวร,00.54.02,00.56.18,
การบําเพ็ญบารมีในขั้นทานบารมีจนถึงพระนิพพาน มีขั้นตอนการบําเพ็ญอย่างไรบ้าง,"ทานบารมีเอาไว้เพื่อป้องกันความตระหนี่ เบื้องต้นมนุษย์มีความตระหนี่ในทรัพย์ การสละทรัพย์ก็เพื่อชําระความตระหนี่ที่เรามี ด้วยความที่พระองค์ทรงสอนให้สละความตระหนี่ จากทรัพย์ก่อน จึงนําเข้ามาสู่การสละสิ่งที่เกี่ยวข้องกับตนเอง
คือสละความเป็นตัวตนของตัวเองออกไป ความเป็นตัวตนที่เรายึดถือว่าเป็นตนอยู่มันเป็นการยึดถือด้วยความเห็นผิดที่เข้าใจว่าเป็นเรา พระองค์จึงบอกว่า
เมื่อความเห็นและความเข้าใจว่าเป็นตนมีตน เกิดขึ้นในตนเอง ความเห็นว่าเป็นของของตนจึงมีขึ้น เช่น ทรัพย์เรา สิ่งของนั้นเป็นของเรา จนพระองค์มองเห็นว่าการเห็นว่าเป็นตนและเป็นของของตนแบบนี้มันเป็นที่มาของความตระหนี่ในการยึดถือ ฉะนั้นการสลัดสิ่งภายนอกก่อน คือการทําลายความตระหนี่ในการยึดถือว่าเป็นตนนั้นออกไป อาจเริ่มตั้งแต่วัตถุทางมาสู่อภัยทานนะ แล้วจากอภัยทานคือสลัดความคิดที่ไม่ดี คิดร้าย มุ่งร้ายปรารถนาร้าย แล้วก็สละสิ่งที่เรียกว่าความสุขในชีวิตตัวเอง เพราะเราหวงแหนความสุขทั้งหมดไว้ ก็หวงแหนไว้เพื่อตนเอง เมื่อเราเริ่มสละความสุขโดยการรู้ว่าสิ่งนี้คือทุกข์ เราก็จะไม่แสวงหาสุข แต่ไม่ได้หมายถึงว่าต้องปฏิเสธความสุข แต่เราไม่ได้แสวงหาเพื่อมาตอบสนองต่อความเป็นตัวเรา จากนั้นเราก็เริ่ม เริ่มสละความเห็นที่เห็นว่าเป็นตนออกไปจากการยึดมั่นถือมั่นว่าเป็นตน การที่เราสละความรู้สึกเหล่านี้ออกไปได้ทั้งหมด ความเป็นตัวตนจะค่อยๆ ถูกคลายออก เริ่มต้นจากการให้ทานไปเรื่อยๆ ทานไปว่าการสละหรือการให้ ให้สิ่งต่างๆ ออกไป
",00.56.35,01.00.19,
ลูกสาวเกิดมาไม่เคยป่วย แล้วมาป่วยจนเสียชีวิต มันเกิดจากอะไร,เหตุปัจจัยแต่อดีตอันเป็นกรรมวิบากนั้น พระอาจารย์เคยอธิบายว่ากรรมที่เคยทําแม้ในแสงกัปที่แล้ว ยังสามารถส่งผลในปัจจุบันนี้ได้อยู่ ฉะนั้นขอให้เข้าใจว่าหลักการทางพุทธศาสนาจะไม่กล่าวถึงสิ่งที่เกิดขึ้นแบบลอยๆ ที่ไม่มีเหตุปัจจัยมาก่อน ทุกเรื่องที่เกิดขึ้นมีเหตุปัจจัยมาแต่ปางก่อน เด็กที่ป่วยแล้วเสียชีวิตก็คือเกิดจากกรรม ถ้ากรรมนั้นจะระบุได้ก็ระบุตรงที่ว่า กรรมนั้นต้องเกิดจากสิ่งที่เรียกว่าปาณาติบาตแล้วปาณาติบาตมันมาถึงตัวเขาในขณะนั้น ในขณะปัจจุบันไม่ว่าจะเกิดในวัยไหนก็ตาม หากปาณาติบาตตามมาถึงเมื่อไหร่ ก็ตัดรอนชีวิตของบุคคลนั้นได้เมื่อนั้นทันที,01.00.20,01.02.18,
นั่งสมาธิไม่ได้เลย น้ำตาไหล บางทีน้ำมูกก็ไหลออกมา ควรทําอย่างไรดี,แนะนำให้สวดอาฏานาฏิยปริตร 7 รอบ ติดต่อกันเป็นเวลา 7 วัน ไม่ต้องนั่งสมาธิ,01.02.19,01.02.57,
อยากให้พูดถึงการสร้างกรรมจากการพูดจา หรือใช้คําพูดทําร้ายจิตใจคนอื่นบนโลกโซเชียล ,"ถ้าเราจะมองในแง่ของกรรมในชีวิตประจําวัน สิ่งที่เกิดง่ายที่สุดคือคําพูด เราสร้างกรรมทางคําพูด แล้วสติเราจะขาดหายไปกับการพูดเยอะมาก จะพูดแต่ละครั้งต้องคิดให้ดีว่าควรพูดหรือไม่ควรพูด ต้องเห็นโทษทางวาจาอยู่เรื่อยๆ ไม่พูดอะไรที่ไม่สร้างประโยชน์ เพราะว่าทุกคําพูดมันเป็นวจีกรรม แล้ววจีกรรมสามารถนําไปสู่การกระทําในเรื่องนั้นๆ ได้ด้วย พระองค์ตรัสไว้ว่า หากจะกล่าวถึงโทษในอบายภูมิ ถ้าเกิดเป็นเปรต แบบเบาที่สุดคือเกิดเป็นเปรตที่มีหนอนชอนไชเจาะอยู่ในปากนั้นตลอดทั้งวันและคืน ปากเป็นเหล็กและจะเจาะและกัดกินที่ปากอยู่ตลอด หรือไปเกิดในที่ไหนก็ตาม ปากจะมีกลิ่นเหม็นอยู่ตลอด เหม็นแบบผิดปกติ แล้วก็ถ้าหนักที่สุดก็คือผูกก้อนถ่านเพิงแดงอมไว้ในปาก จนก้อนถ่านเพิงไหม้ที่ปาก ริมฝีปากช่องปากทั้งหมด จนเหลือแต่กระดูกที่ปาก ไม่สามารถที่จะพูดอะไรได้ กรรมเหล่านี้
บังเกิดโทษและก่อให้เกิดโทษในอบายภูมิจริง ไม่ใช่เพียงแต่มากล่าวให้เกิดความกลัวกันเท่านั้น",01.02.58,01.06.45,
ความคิดมาจากจิตหรือสมอง,ความคิดเกิดจากจิตและส่งทอดไปสู่สมอง สมองก็จะเป็นผู้สั่งการให้อวัยวะทางกายกระทําการต่างๆ ตามที่สมองสั่งการ ความคิดไม่สามารถสั่งกายได้ จึงต้องส่งความคิดนั้นไปที่สมองก่อน เพราะสมองเป็นตัวสั่งอวัยวะทางกายให้เคลื่อนไหวหรือกระทําการต่างๆ ในโลกนี้ได้,01.06.46,01.07.56,
การนั่งสมาธิผ่านไปสักครึ่งชั่วโมงจะมีอาการขาเหน็บชา เป็นเรื่องปกติเป็นกันทุกคนหรือไม่ แล้วเราควรภาวนาพุทโธต่อไป หรือควรเปลี่ยนอิริยาบถดีกว่า,ถ้าหากว่าขาเหน็บชาและยังสามารถบริกรรมพุทโธต่อไปได้ ก็ให้ทําต่อ แต่ถ้าทําต่อไม่ได้ แนะนําให้ลุกขึ้นเดินจงกรมจะดีกว่า แล้วขาเหน็บชาก็เป็นเรื่องปกติของคนทั่วไป,01.07.57,01.11.52,
